Symbol,Time,Open,High,Low,Close,Volume,Ticker
PVV,2023-12-22,2100,2100,1900,1900,152700,PVV
PVX,2023-12-22,2200,2300,2100,2200,1051500,PVX
PVY,2023-12-22,3000,3100,2900,2900,6900,PVY
PWA,2023-12-22,3700,3700,3700,3700,2500,PWA
PXA,2023-12-22,900,1100,900,1100,2800,PXA
PXI,2023-12-22,2800,2800,2700,2700,75700,PXI
PXL,2023-12-22,8800,8900,8700,8800,178900,PXL
PXM,2023-12-22,500,500,400,400,8500,PXM
PXS,2023-12-22,4600,4700,4500,4500,58000,PXS
PXT,2023-12-22,3500,3600,3500,3500,22500,PXT
QBS,2023-12-22,2390,2390,2340,2360,176500,QBS
QCG,2023-12-22,11100,11100,10800,10800,643800,QCG
QHD,2023-12-22,36600,36600,36600,36600,100,QHD
QNC,2023-12-22,8000,8000,8000,8000,2500,QNC
QNS,2023-12-22,45100,45100,44700,44800,382800,QNS
QPH,2023-12-22,25000,27000,25000,27000,2900,QPH
QTP,2023-12-22,14400,14500,14300,14500,76200,QTP
RAL,2023-12-22,105900,108000,105100,106600,57400,RAL
RBC,2023-12-22,3900,3900,3900,3900,100,RBC
RCC,2023-12-22,18900,18900,14700,14700,78900,RCC
RDP,2023-12-22,9430,9430,9300,9400,282000,RDP
REE,2023-12-22,56700,56700,55800,55800,383200,REE
RGC,2023-12-22,4300,4600,4100,4600,18900,RGC
RIC,2023-12-22,4100,4300,4000,4100,12400,RIC
RTB,2023-12-22,17500,17500,17500,17500,800,RTB
S12,2023-12-22,1300,1500,1300,1500,200,S12
S4A,2023-12-22,33950,33950,33950,33950,200,S4A
S99,2023-12-22,9000,9200,8900,9100,91900,S99
SAB,2023-12-22,62000,62100,61500,61500,639900,SAB
SAC,2023-12-22,8600,8600,8600,8600,500,SAC
SAF,2023-12-22,46600,46600,46600,46600,200,SAF
SAM,2023-12-22,6400,6420,6380,6400,327100,SAM
SAS,2023-12-22,24500,24600,24500,24600,3700,SAS
SAV,2023-12-22,15000,15000,14400,14700,178100,SAV
SBA,2023-12-22,25400,25700,25050,25600,9300,SBA
SBB,2023-12-22,15300,15900,15200,15900,328400,SBB
SBG,2023-12-22,16250,16350,16000,16200,166400,SBG
SBR,2023-12-22,6200,6300,6200,6300,900,SBR
SBS,2023-12-22,7200,7300,7200,7200,1067000,SBS
SBT,2023-12-22,13250,13350,13200,13300,562600,SBT
SBV,2023-12-22,9890,9980,9800,9800,1600,SBV
SC5,2023-12-22,19000,19000,19000,19000,500,SC5
SCD,2023-12-22,13600,15550,13600,15550,200,SCD
SCG,2023-12-22,66300,66500,66100,66500,70000,SCG
SCI,2023-12-22,12200,12600,12200,12300,34300,SCI
SCJ,2023-12-22,3900,4100,3900,4100,1200,SCJ
SCL,2023-12-22,19300,19700,19000,19400,17400,SCL
